Trip_ID,City,Country,Region,Latitude,Longitude,Currency,Travel_Date,Duration_Days,No_of_Travelers,Budget_Per_Person_USD,Total_Budget_USD,Travel_Type,Airline,Accommodation_Type,Season,Transport_Mode,Visa_Type,Rating,Trip_Purpose,Distance_KM
TRIP-000043,Phuket,Thailand,Asia,7.8804,98.3923,THB,14-01-2024,24,9,8038.71,72348.39,Family,Turkish Airlines,Guest House,Spring,Bicycle,On Arrival,2.5,Wildlife Safari,7374.6
TRIP-000044,Cusco,Peru,South America,-13.5319,-71.9675,PEN,08-11-2019,27,8,9211.51,73692.08,Group Tour,Delta,Homestay,Spring,Train,Transit Visa,5,Wildlife Safari,501.8
TRIP-000045,Berlin,Germany,Europe,52.52,13.405,EUR,07-03-2023,6,1,2749.53,2749.53,Solo,British Airways,Boutique Hotel,Autumn,Bicycle,On Arrival,3.5,Beach,3253.7
TRIP-000046,Hanoi,Vietnam,Asia,21.0285,105.8542,VND,21-03-2018,24,9,710.44,6393.96,Leisure,IndiGo,5-Star Hotel,Spring,Car Rental,Business Visa,3.5,Sightseeing,3440.9
TRIP-000047,Casablanca,Morocco,Africa,33.5731,-7.5898,MAD,17-09-2019,8,3,4840.9,14522.7,Honeymoon,ANA,Airbnb,Autumn,Bus,E-Visa,1.5,Photography,8503.1
TRIP-000048,Krakow,Poland,Europe,50.0647,19.945,PLN,15-04-2019,25,3,9654.26,28962.78,Family,Delta,Boutique Hotel,Winter,Car Rental,Tourist Visa,1.5,Photography,8722.4
TRIP-000049,San Francisco,USA,North America,37.7749,-122.4194,USD,21-09-2020,4,5,8532.87,42664.35,Budget,IndiGo,5-Star Hotel,Autumn,Bicycle,Transit Visa,1.5,Shopping,11963.8
TRIP-000050,Amsterdam,Netherlands,Europe,52.3676,4.9041,EUR,04-09-2023,21,6,323.99,1943.94,Leisure,Turkish Airlines,Resort,Winter,Bus,Visa Free,4,Hiking,12352.7
TRIP-000051,Quito,Ecuador,South America,-0.1807,-78.4678,USD,08-11-2023,21,5,6235.94,31179.7,Backpacking,Turkish Airlines,Homestay,Autumn,Motorbike,Business Visa,5,Beach,11642.2
TRIP-000052,Copenhagen,Denmark,Europe,55.6761,12.5683,DKK,21-01-2023,8,8,5784.53,46276.24,Backpacking,Thai Airways,Resort,Summer,Walking Tour,Business Visa,4,Shopping,5112.3
TRIP-000053,Madrid,Spain,Europe,40.4168,-3.7038,EUR,26-10-2021,9,10,7071.6,70716,Luxury,Lufthansa,4-Star Hotel,Summer,Bicycle,Visa Free,3,Diving,8381.3
TRIP-000054,Split,Croatia,Europe,43.5081,16.4402,EUR,11-09-2020,23,8,6529.85,52238.8,Business,Qatar Airways,Airbnb,Summer,Bicycle,Transit Visa,4.5,Food Tour,6777.8
TRIP-000055,Edinburgh,UK,Europe,55.9533,-3.1883,GBP,10-07-2024,12,8,5624.03,44992.24,Luxury,British Airways,Resort,Winter,Cruise,On Arrival,3.5,Cultural,6440
TRIP-000056,Maldives,Maldives,Asia,3.2028,73.2207,MVR,10-05-2019,24,4,3292.37,13169.48,Adventure,Lufthansa,Hostel,Winter,Cruise,Transit Visa,5,Photography,14268.1
TRIP-000057,Split,Croatia,Europe,43.5081,16.4402,EUR,19-11-2023,20,5,9809,49045,Solo,Singapore Airlines,Airbnb,Spring,Bus,On Arrival,2.5,Sightseeing,4514.1
TRIP-000058,Rome,Italy,Europe,41.9028,12.4964,EUR,16-03-2024,10,3,6451.12,19353.36,Business,Delta,Airbnb,Winter,Walking Tour,Visa Free,4.5,Shopping,1628.6
TRIP-000059,Seoul,South Korea,Asia,37.5665,126.978,KRW,30-07-2018,9,8,1318.05,10544.4,Leisure,Delta,5-Star Hotel,Summer,Bus,E-Visa,1.5,Cultural,6070.5
TRIP-000060,Bangkok,Thailand,Asia,13.7563,100.5018,THB,13-10-2020,4,9,7691.55,69223.95,Group Tour,ANA,Guest House,Autumn,Bicycle,On Arrival,2.5,Photography,11657.8
TRIP-000061,Casablanca,Morocco,Africa,33.5731,-7.5898,MAD,04-09-2018,20,2,9486.38,18972.76,Family,United,4-Star Hotel,Summer,Car Rental,Business Visa,2.5,Diving,9420.2
TRIP-000062,Singapore,Singapore,Asia,1.3521,103.8198,SGD,04-10-2019,1,7,4614.94,32304.58,Honeymoon,Air France,Airbnb,Winter,Train,Transit Visa,4.5,Food Tour,4439.8
TRIP-000063,Madrid,Spain,Europe,40.4168,-3.7038,EUR,12-08-2024,22,4,4366.36,17465.44,Adventure,Korean Air,Airbnb,Summer,Train,Tourist Visa,5,Hiking,3449.7
TRIP-000064,Edinburgh,UK,Europe,55.9533,-3.1883,GBP,03-09-2024,24,10,9227.69,92276.9,Family,Air India,Boutique Hotel,Autumn,Walking Tour,Visa Free,4.5,Beach,1952.9
TRIP-000065,Accra,Ghana,Africa,5.6037,-0.187,GHS,13-06-2018,29,7,7398.43,51789.01,Honeymoon,United,Homestay,Spring,Cruise,E-Visa,3,Sightseeing,485.4
TRIP-000066,Split,Croatia,Europe,43.5081,16.4402,EUR,19-12-2019,16,9,6584.79,59263.11,Budget,Turkish Airlines,Guest House,Spring,Walking Tour,On Arrival,3,Wildlife Safari,2804.2
TRIP-000067,Nairobi,Kenya,Africa,-1.2921,36.8219,KES,08-08-2021,22,2,8605.78,17211.56,Backpacking,Air France,Boutique Hotel,Spring,Walking Tour,Tourist Visa,3.5,Shopping,6233.5
TRIP-000068,Florence,Italy,Europe,43.7696,11.2558,EUR,17-08-2021,4,7,8676.12,60732.84,Luxury,ANA,Boutique Hotel,Spring,Car Rental,E-Visa,1,Shopping,9899.1
TRIP-000069,Casablanca,Morocco,Africa,33.5731,-7.5898,MAD,04-08-2023,21,8,7647.91,61183.28,Adventure,Korean Air,Airbnb,Winter,Walking Tour,Tourist Visa,2.5,Sightseeing,4079.1
TRIP-000070,Addis Ababa,Ethiopia,Africa,9.032,38.7469,ETB,29-10-2024,26,4,7155.87,28623.48,Luxury,Turkish Airlines,4-Star Hotel,Summer,Train,Visa Free,3,Beach,8307.5
TRIP-000071,Dar es Salaam,Tanzania,Africa,-6.7924,39.2083,TZS,23-09-2019,16,5,5186.95,25934.75,Backpacking,ANA,Hostel,Winter,Bus,Visa Free,3,Food Tour,6290.8
TRIP-000072,Accra,Ghana,Africa,5.6037,-0.187,GHS,13-09-2023,24,3,8667.46,26002.38,Group Tour,British Airways,Camping,Autumn,Flight,On Arrival,3,Cultural,11612.9
TRIP-000073,Ulaanbaatar,Mongolia,Asia,47.8864,106.9057,MNT,03-07-2024,22,8,8679.55,69436.4,Solo,British Airways,Camping,Winter,Walking Tour,On Arrival,4.5,Food Tour,8124.9
TRIP-000074,Las Vegas,USA,North America,36.1699,-115.1398,USD,05-09-2020,19,7,2488.91,17422.37,Backpacking,Air India,Boutique Hotel,Winter,Bus,Visa Free,4,Sightseeing,750.3
TRIP-000075,Toronto,Canada,North America,43.6532,-79.3832,CAD,20-08-2023,19,6,8723.06,52338.36,Backpacking,Emirates,3-Star Hotel,Winter,Bus,Tourist Visa,4.5,Skiing,1585.7
TRIP-000076,Madrid,Spain,Europe,40.4168,-3.7038,EUR,18-10-2021,20,7,6568.4,45978.8,Luxury,Turkish Airlines,Resort,Winter,Flight,E-Visa,3.5,Beach,12799.9
TRIP-000077,Santorini,Greece,Europe,36.3932,25.4615,EUR,23-03-2021,8,2,4452.92,8905.84,Leisure,ANA,3-Star Hotel,Autumn,Flight,Tourist Visa,1.5,Shopping,11429.5
TRIP-000078,Barcelona,Spain,Europe,41.3851,2.1734,EUR,16-04-2021,12,6,4420.73,26524.38,Budget,United,3-Star Hotel,Summer,Bus,Tourist Visa,2.5,Photography,8014.4
TRIP-000079,Lima,Peru,South America,-12.0464,-77.0428,PEN,13-12-2024,22,4,5077.14,20308.56,Family,ANA,Airbnb,Spring,Walking Tour,On Arrival,2,Diving,3559.6
TRIP-000080,Budapest,Hungary,Europe,47.4979,19.0402,HUF,30-10-2018,15,6,9878.99,59273.94,Group Tour,Air India,Airbnb,Winter,Cruise,Business Visa,3,Wildlife Safari,9620.2
TRIP-000081,Ho Chi Minh City,Vietnam,Asia,10.8231,106.6297,VND,13-03-2019,8,7,5804.84,40633.88,Family,Emirates,Boutique Hotel,Autumn,Flight,E-Visa,3,Sightseeing,14891.1
TRIP-000082,Lagos,Nigeria,Africa,6.5244,3.3792,NGN,28-07-2023,27,5,7802.26,39011.3,Solo,Lufthansa,Hostel,Autumn,Bus,Transit Visa,2.5,Beach,9145.3
TRIP-000083,Addis Ababa,Ethiopia,Africa,9.032,38.7469,ETB,11-06-2018,10,8,526.97,4215.76,Leisure,Korean Air,Airbnb,Autumn,Bicycle,Business Visa,3.5,Food Tour,11012.2
TRIP-000084,Toronto,Canada,North America,43.6532,-79.3832,CAD,19-01-2024,29,6,5402.35,32414.1,Family,Korean Air,Guest House,Autumn,Motorbike,Tourist Visa,3,Skiing,12474
TRIP-000085,Singapore,Singapore,Asia,1.3521,103.8198,SGD,31-07-2019,25,4,8629.38,34517.52,Luxury,British Airways,4-Star Hotel,Winter,Flight,On Arrival,4,Diving,14512.3
TRIP-000086,Los Angeles,USA,North America,34.0522,-118.2437,USD,06-02-2023,12,5,5928.69,29643.45,Honeymoon,ANA,5-Star Hotel,Autumn,Car Rental,Transit Visa,3.5,Beach,1714.4
TRIP-000087,Dakar,Senegal,Africa,14.7167,-17.4677,XOF,17-03-2023,30,5,6562.55,32812.75,Business,Air France,Guest House,Spring,Train,Business Visa,1.5,Diving,2182.7
TRIP-000088,Berlin,Germany,Europe,52.52,13.405,EUR,11-05-2022,15,6,6770.76,40624.56,Adventure,Korean Air,Boutique Hotel,Spring,Walking Tour,E-Visa,5,Wildlife Safari,6345
TRIP-000089,Copenhagen,Denmark,Europe,55.6761,12.5683,DKK,15-05-2018,23,6,2329.24,13975.44,Solo,Qatar Airways,Resort,Autumn,Flight,Visa Free,4.5,Cultural,14263.3
TRIP-000090,Beijing,China,Asia,39.9042,116.4074,CNY,16-05-2019,28,8,1098.4,8787.2,Budget,Emirates,5-Star Hotel,Autumn,Car Rental,Business Visa,2.5,Photography,9661.4
TRIP-000091,Hong Kong,China,Asia,22.3193,114.1694,HKD,09-10-2018,27,9,2230.14,20071.26,Honeymoon,British Airways,3-Star Hotel,Spring,Cruise,Business Visa,2.5,Hiking,12214.5
TRIP-000092,Abu Dhabi,UAE,Middle East,24.4539,54.3773,AED,23-10-2020,26,3,1277.28,3831.84,Solo,IndiGo,Hostel,Autumn,Flight,Business Visa,1,Cultural,2063.9
TRIP-000093,Rome,Italy,Europe,41.9028,12.4964,EUR,04-06-2019,24,7,5355.64,37489.48,Solo,Cathay Pacific,Homestay,Spring,Walking Tour,E-Visa,1.5,Food Tour,7196.1
TRIP-000094,Johannesburg,South Africa,Africa,-26.2041,28.0473,ZAR,27-06-2018,24,9,3155.98,28403.82,Backpacking,Thai Airways,Boutique Hotel,Winter,Train,Visa Free,1,Skiing,1006.3
TRIP-000095,Singapore,Singapore,Asia,1.3521,103.8198,SGD,27-11-2018,11,10,1653.67,16536.7,Budget,Cathay Pacific,Resort,Winter,Cruise,Visa Free,2,Diving,4197.7
TRIP-000096,Lagos,Nigeria,Africa,6.5244,3.3792,NGN,29-10-2022,4,2,8557.37,17114.74,Honeymoon,Turkish Airlines,Guest House,Summer,Bicycle,On Arrival,5,Skiing,10840.5
TRIP-000097,Havana,Cuba,North America,23.1136,-82.3666,CUP,31-08-2022,24,2,3262.97,6525.94,Solo,Singapore Airlines,Guest House,Spring,Train,Tourist Visa,3.5,Beach,10010.1
TRIP-000098,Osaka,Japan,Asia,34.6937,135.5023,JPY,31-01-2019,24,6,8155.34,48932.04,Luxury,Cathay Pacific,Resort,Spring,Bicycle,On Arrival,5,Wildlife Safari,993.7
TRIP-000099,Cusco,Peru,South America,-13.5319,-71.9675,PEN,30-07-2018,10,10,3262,32620,Honeymoon,Singapore Airlines,Guest House,Summer,Train,On Arrival,1.5,Diving,8711
TRIP-000100,Rio de Janeiro,Brazil,South America,-22.9068,-43.1729,BRL,16-04-2019,25,5,5826.18,29130.9,Budget,Delta,Camping,Spring,Cruise,Tourist Visa,4,Hiking,12692.8
TRIP-000101,Zurich,Switzerland,Europe,47.3769,8.5417,CHF,19-06-2021,30,6,3640.03,21840.18,Budget,United,Boutique Hotel,Spring,Bus,Transit Visa,2,Sightseeing,13061
TRIP-000102,Istanbul,Turkey,Europe/Asia,41.0082,28.9784,TRY,13-12-2023,7,7,4314.36,30200.52,Family,Air India,Resort,Spring,Flight,Business Visa,3.5,Hiking,2445.4
TRIP-000103,Dubrovnik,Croatia,Europe,42.6507,18.0944,EUR,05-12-2024,2,2,2866.61,5733.22,Backpacking,Turkish Airlines,Airbnb,Summer,Train,On Arrival,4,Wildlife Safari,7336.4
TRIP-000104,Cape Town,South Africa,Africa,-33.9249,18.4241,ZAR,06-03-2021,22,10,4969,49690,Group Tour,Delta,5-Star Hotel,Spring,Car Rental,On Arrival,3,Food Tour,776.7
TRIP-000105,Tallinn,Estonia,Europe,59.437,24.7536,EUR,17-07-2019,25,5,3036.58,15182.9,Group Tour,Singapore Airlines,3-Star Hotel,Winter,Car Rental,E-Visa,1.5,Diving,215.2
TRIP-000106,Montreal,Canada,North America,45.5017,-73.5673,CAD,21-12-2021,3,7,8645.29,60517.03,Backpacking,Korean Air,4-Star Hotel,Autumn,Bicycle,E-Visa,1,Wildlife Safari,6599.7
TRIP-000107,Sao Paulo,Brazil,South America,-23.5505,-46.6333,BRL,07-09-2022,10,2,4169.32,8338.64,Budget,ANA,Resort,Spring,Bicycle,Tourist Visa,3.5,Food Tour,2660.9
TRIP-000108,Osaka,Japan,Asia,34.6937,135.5023,JPY,09-08-2024,13,9,970.74,8736.66,Honeymoon,British Airways,3-Star Hotel,Spring,Train,E-Visa,3,Diving,11212.5
TRIP-000109,Beijing,China,Asia,39.9042,116.4074,CNY,02-12-2021,12,3,2515.43,7546.29,Adventure,Delta,3-Star Hotel,Spring,Bus,Transit Visa,2,Skiing,3913.9
TRIP-000110,Jakarta,Indonesia,Asia,-6.2088,106.8456,IDR,28-04-2024,25,10,4599.27,45992.7,Solo,Singapore Airlines,Guest House,Spring,Walking Tour,Visa Free,3.5,Cultural,12977.3
TRIP-000111,Copenhagen,Denmark,Europe,55.6761,12.5683,DKK,19-08-2024,2,6,5171.9,31031.4,Business,Emirates,Resort,Autumn,Train,Transit Visa,3,Beach,6980
TRIP-000112,Johannesburg,South Africa,Africa,-26.2041,28.0473,ZAR,30-08-2024,17,7,4734.57,33141.99,Business,ANA,Homestay,Summer,Motorbike,E-Visa,5,Skiing,14318
TRIP-000113,Karachi,Pakistan,Asia,24.8607,67.0011,PKR,10-09-2019,2,8,1214.32,9714.56,Leisure,Cathay Pacific,3-Star Hotel,Spring,Car Rental,Transit Visa,3.5,Skiing,14737.5
TRIP-000114,Kyoto,Japan,Asia,35.0116,135.7681,JPY,17-11-2023,17,10,1755.71,17557.1,Group Tour,Turkish Airlines,Resort,Spring,Motorbike,Tourist Visa,3.5,Shopping,13777.3
TRIP-000115,Mumbai,India,Asia,19.076,72.8777,INR,04-04-2024,22,7,2984.64,20892.48,Budget,United,3-Star Hotel,Autumn,Cruise,Transit Visa,2,Wildlife Safari,5067.1
TRIP-000116,Toronto,Canada,North America,43.6532,-79.3832,CAD,03-09-2024,23,2,3233.9,6467.8,Solo,Thai Airways,3-Star Hotel,Spring,Bicycle,E-Visa,4,Shopping,9688
TRIP-000117,New York,USA,North America,40.7128,-74.006,USD,25-01-2022,10,3,9521.46,28564.38,Backpacking,Lufthansa,Hostel,Summer,Bus,Tourist Visa,3.5,Cultural,14220.3
TRIP-000118,Mumbai,India,Asia,19.076,72.8777,INR,11-09-2023,25,9,8384.17,75457.53,Solo,Korean Air,Homestay,Summer,Bicycle,Business Visa,5,Hiking,662.4
TRIP-000119,Seoul,South Korea,Asia,37.5665,126.978,KRW,10-11-2019,24,8,628.19,5025.52,Honeymoon,ANA,Homestay,Autumn,Walking Tour,Business Visa,3.5,Diving,10177.8
TRIP-000120,Santorini,Greece,Europe,36.3932,25.4615,EUR,21-06-2021,26,8,9058.95,72471.6,Budget,ANA,Guest House,Autumn,Bicycle,E-Visa,2.5,Diving,5580.8
TRIP-000121,Phuket,Thailand,Asia,7.8804,98.3923,THB,26-10-2019,27,4,8052.34,32209.36,Business,United,Guest House,Autumn,Train,Transit Visa,2,Diving,13107.7
TRIP-000122,Los Angeles,USA,North America,34.0522,-118.2437,USD,13-03-2021,3,3,2873.35,8620.05,Group Tour,Qatar Airways,Hostel,Winter,Motorbike,Tourist Visa,5,Wildlife Safari,2295.5
TRIP-000123,Rome,Italy,Europe,41.9028,12.4964,EUR,12-06-2022,17,6,2510.63,15063.78,Business,British Airways,4-Star Hotel,Autumn,Bus,Business Visa,1.5,Sightseeing,5686.2
TRIP-000124,Stockholm,Sweden,Europe,59.3293,18.0686,SEK,20-04-2023,23,3,7636.64,22909.92,Business,Korean Air,4-Star Hotel,Spring,Cruise,Business Visa,4.5,Hiking,6784.2
TRIP-000125,Muscat,Oman,Middle East,23.588,58.3829,OMR,29-10-2024,17,7,1289.63,9027.41,Leisure,Emirates,Hostel,Winter,Walking Tour,Tourist Visa,3,Beach,3640.8
TRIP-000126,Yangon,Myanmar,Asia,16.8661,96.1951,MMK,10-09-2024,18,1,6393.16,6393.16,Family,Turkish Airlines,5-Star Hotel,Autumn,Car Rental,E-Visa,2.5,Wildlife Safari,10806.3
TRIP-000127,Seoul,South Korea,Asia,37.5665,126.978,KRW,17-12-2018,17,6,863.26,5179.56,Luxury,Cathay Pacific,5-Star Hotel,Winter,Walking Tour,Tourist Visa,5,Wildlife Safari,8206.8
TRIP-000128,Rio de Janeiro,Brazil,South America,-22.9068,-43.1729,BRL,04-11-2020,24,1,3699.52,3699.52,Leisure,IndiGo,Homestay,Autumn,Bus,Tourist Visa,1.5,Shopping,5237.6
TRIP-000129,Abu Dhabi,UAE,Middle East,24.4539,54.3773,AED,18-10-2021,27,3,8337.76,25013.28,Backpacking,United,3-Star Hotel,Summer,Train,Transit Visa,4.5,Skiing,14714.2
TRIP-000130,Dubai,UAE,Middle East,25.2048,55.2708,AED,16-04-2021,7,1,7952.87,7952.87,Family,Cathay Pacific,Boutique Hotel,Winter,Cruise,Tourist Visa,1,Food Tour,4802.4
TRIP-000131,Stockholm,Sweden,Europe,59.3293,18.0686,SEK,02-01-2022,28,1,8684.82,8684.82,Solo,Turkish Airlines,Boutique Hotel,Winter,Bicycle,On Arrival,3.5,Hiking,4170.9
TRIP-000132,Yangon,Myanmar,Asia,16.8661,96.1951,MMK,31-07-2023,12,9,2813.86,25324.74,Leisure,Turkish Airlines,Homestay,Summer,Cruise,On Arrival,1.5,Beach,10933.5
